year,governorate_1,governorate_2,planned,joint_statement,unspecified_JO,gov_collaboration,affiliates,parent_group,operations_room,big_bomb,target_class,target_class2,target_class3,target_class4,claim_source,notes,ose_claim_id,ose_date,frenemie_id,claim_full_text,Compound_Claim,Subject_Full_Name,subject,Object_Full_Name,object ,Posting_Full_Name,posting,type1,type2,type3,Pos_Existing_Ties,Neg_Existing_Ties,Duplicate,Frenemy_Notes,Interesting_Flag,Coder_ID,Skip
2015,NA,NA,no,no,no,no,no,no,no,no,.,.,.,.,direct_quote,SKIP: YPG denies accusations of coordination with other groups,LIL2015071266525560,2015-07-12,175.1,"-- on 1 july, in an interview with the website of welati, redur khalil,
 
 
 the spokesperson of the people's protection units , said: ""the door
 
 
 and the borders are open for any party or any force wanting to carry out
 
 
 its national duty and provide protection. however, this must take place
 
 
 under the ypg umbrella. the ypg is the one protecting west kurdistan.
 
 
 therefore, whoever wants to carry out their duty toward their people
 
 
 must join the ypg. intervention by another force in west kurdistan is
 
 
 not up for discussion,"" he added. denying reports on coordination
 
 
 between government troops and the ypg in the city of al hasakah after an
 
 
 isil attack on the city and the capture of some southern neighborhoods,
 
 
 khalil said: ""this is sheer propaganda seeking to distort the ypg's
 
 
 image, to undermine its recent gains against da'ish and to hamper the
 
 
 assistance we receive from the coalition forces. we cannot and must not
 
 
 stand by the regime. however, we are trying to end da'ish's control of
 
 
 areas seized from the regime,"" he said. khalil did not deny reports
 
 
 carried by kurdish websites last week about the involvement of
 
 
 battalions from the free syrian army operating under the volcano
 
 
 of the euphrates operations room in isil
 
 
 massacres committed against civilians in kobane. "" investigations are
 
 
 ongoing and we are waiting for the outcome,"" khalil said.",,People's Protection Units,YPG,,,People's Protection Units,YPG,Denial,,,,,,YPG denies rumors or coordination between gov troops and YPG,,ANS,.
2015,Raqqa,NA,no,no,no,no,no,no,no,no,.,.,.,.,news_general,SKIP: YPG denies news of clashes between it and TURK,LIL2015071266525560,2015-07-12,176,"-- on 6 july, in a statement to hawar news agency, ypg spokesman redur
 
 
 khalil denied news of clashes between the ypg and the turkish army at
 
 
 the tall abyad border crossing and along ""the afrin canton border.""
 
 
 according to the agency, kurdish and iraqi satellite tvs reported on
 
 
 clashes. khalil urged these outlets ""to be credible and to refrain from
 
 
 disseminating false news about the ypg.""",,People's Protection Units,YPG,,,People's Protection Units,YPG,Denial,,,,,,YPG denies rumors of clashes with Turkish army,,ANS,.
2015,Rif Damashq,NA,no,no,no,no,no,.,no,no,ANF,.,.,.,direct_quote,"Talks about attack and also denouncing the actions of ANF, so coded as frenemies",TRR2015071350058580,2015-07-13,181,"at 1109 gmt on 13 july, twitter user ""jaysh al-islam"" tweeted a link to an arabic-language statement titled ""statement regarding the recent events between jaysh al-islam and al-nusrah front,"" dated 13 july and attributed to jaysh al-islam's ""morale department,"" which recounts an attack on ""the jaysh al-islam security office in mudayra"" and urges ""the people of wisdom in the levant to take the initiative and put an end to al-nusrah front's repeated transgressions against the mujahideen."" below is a translation of the statement. / /image of the ""statement regarding the recent events between jaysh al-islam and al-nusrah front"" top-left: jaysh al-islam logo./ ""in the name of god, the merciful, the compassionate jaysh al-islam the morale department 26 ramadan 1436, corresponding to 13 july 2015 ""statement regarding the recent events between jaysh al-islam and al-nusrah front 'but no, by the lord, they can have no real faith, until they make thee judge in all disputes between them, and find in their souls no resistance against thy decisions, but accept them with the fullest conviction,' [koranic verse, al-nisa, 4:65]. ""at 1900 local time on 12 july, jaysh al-islam attempted to execute an arrest warrant against the so-called abu-ahmad mujahid, who was summoned to appear before the unified court in the town of mudayra. the [jaysh al-islam] company, however, had to leave the area without carrying out the order when a group of masked men obstructed the execution of the mission. ""an armed group of al-nusrah front [then] suddenly attacked the jaysh al-islam security office in mudayra and captured the 3rd brigade commander abu-ala, in addition to seizing six automatic rifles from the office and assaulting the rest of the members. three motorcycles passed through a jaysh al-islam checkpoint set up to maintain safety, and one of them fired at the checkpoint. the checkpoint responded by returning fire in the direction of the attackers, wounding one of them, who happened to be affiliated with al-nusrah front. ""after that, al-nusrah front affiliates kidnapped six members of the jaysh al-islam military services committee. furthermore, al-nusrah front stopped a group affiliated with jaysh al-islam coming from the area of al marj, capturing six members and disarming the rest by taking advantage of the group having orders not to fire their weapons. ""following a quick view of the course of these events, we note that we are not engaged in internal quarrels instigated by al-nusrah front in light of its desertion of the front lines in al ghutah. we call on the people of wisdom in the levant to take the initiative and put an end to al-nusrah front's repeated transgressions against the mujahideen. we call on them to respond to what has been presented to them by the people of wisdom in eastern al ghutah to stop the sedition and reduce the abuses. ""'and allah hath full power and control over his affairs,' [partial koranic verse, yusuf, 12:21].""",,Jaysh al-Islam,JAI,Al-Nusrah Front,ANF,,,Critique,,,,,,"JAI attempted to arrest but it was obstructed. Then ANF attacked JAI offices, kidnapeed someone and stole weapons...fighting between JAI and ANF. long critique of ANF",,ANS,.
2015,NA,NA,no,no,no,no,no,no,no,no,JAI,.,.,.,other,"armed exchange coded as gun, ARC attempting to mediate between sides coded as frenemenies",TRL2015071375683842,2015-07-13,182,"on 13 july, twitter user ""muzamjir al-sham"" tweeted
 
 
 that the ""armed exchange [between al-nusrah front and jaysh al-islam]
 
 
 was preceded by a media exchange"" and that now the commander of
 
 
 al-rahman corps was attempting to mediate between the two sides.",,Al-Nusrah Front,ANF,Jaysh al-Islam,JAI,,,Negotiations,,,,yes,,ARC attempts to mediate between ANF and JAI,,ANS,.
2015,Damascus,NA,no,yes,no,no,no,no,no,no,.,.,.,.,direct_quote,.,TRL2015072079786746,2015-07-20,183,"on 19 july, twitter user ""islam al-shami"" tweeted an embedded image of a hand-written agreement between al-nusrah front and jaysh al-islam, purportedly signed by zahran allush, the commander of jaysh al-islam and ""shaykh abu-asim, a commander of al-nusrah front."" the agreement provides for the following: ""1. putting a stop to all the campaigns of slander and incitement by both parties."" ""2. activating the security cooperation between the two parties concerning all the cases."" ""3. jaysh al-islam pledges to remove the checkpoint of madayra and review [the situation of] all the checkpoints in al ghutah in coming sessions."" ""4. the establishment of a joint military operations room to study the military situation in al ghutah and devise a common view among all the factions of al ghutah."" ""5.",,Al-Nusrah Front,ANF,Jaysh al-Islam,JAI,,,Negotiations,,,,yes,,"""talks"" occured and ANF and JAI argree to put fighting behind them and other terms (1 week after intial spat) ",,ANS,.
2015,Damascus,NA,no,no,no,no,no,no,no,no,.,.,.,.,direct_quote,group merge!,TRR2015072346612194,2015-07-23,187,"t 1033 gmt on 23 july, twitter user ""jaysh al-islam,"" tweeted: ""#jaysh_al-islam #damascus ibad al-rahman brigade in southern damascus will join ranks with jaysh al-islam,"" along with a link to a 59-second arabic-language youtube video titled the same. as of 1800 gmt on 23 july, the video, uploaded by user ""jaysh al-islam,"" had been viewed 210 times and had received 26 likes, zero dislikes, and 14 comments. below is a translation of the speaker's remarks./ /video screenshot of members of ibad al-rahman brigade. top left: //jaysh al-islam logo/ *00:00* the video opens with three men standing in front of rows of armed fighters. the logo of jaysh al-islam appears top left. the unidentified man at center reads from a sheet of paper: ""in the name of god, the merciful the compassionate. in application of the words of god almighty: truly allah loves those who fight in his cause in battle array, as if they were a solid cemented structure, [koranic verse, as-saff, 61:4], we, in the ibad-al-rahman brigade -- under the leadership of hasan dar'ah and abu-yasir babila -- stationed south of the capital damascus in the babila area, announce our merger with jaysh al-islam so as to close ranks and unite our word. we also call on the other factions to follow in our footsteps. god will guide us to goodness and rightness. *00:52* the speaker asks the men standing behind him to praise god. the men call out: ""god is great, god is great.""",,Ibad al-Rahman Brigade,IARB,Jaysh al-Islam,JAI,,,Merger,,,,,,Ibad al-rahman brigade merges with JAI and encourages other groups to do so. ,,ANS,.
2015,Raqqa,NA,no,no,no,no,no,no,yes,no,ISIL,.,.,.,indirect_quote,SKIP: frenemies..rationale for non participation,LIL2015072547928754,2015-07-25,192,"-- on 20 july, the website of ara news quoted sharvan darwish, the
 
 
 official spokesperson of the volcano of the euphrates operations room,
 
 
 saying that the ""decision was made by the leadership of the volcano of
 
 
 the euphrates operations room and not the ypg."" he said the decision was
 
 
 made because these two factions were involved in ""ransacking and
 
 
 pillaging public and private property. they had refused to take part in
 
 
 battles against da'ish or support the operations room factions. they had
 
 
 not taken part in battles to liberate tall abyad or 'ayn 'isa.""",,Volcano Euphrates Operations Room,VOLCANO,Islamic State,ISIL,Volcano Euphrates Operations Room,VOLCANO,Critique,,,,,,"a decision was made by volcano euphrates OR (I'm assuming to remove groups for not fighting ISIL and ransaking and pillaging instead)
This claim is only useful if we know what groups these are. Perhaps look to earlier claims. Confused",,ANS,.
2015,Idlib,,no,no,no,.,no,.,no,no,.,.,.,.,.,SKIP. Call for violence against group,TRL2015072778358004,2015-07-27,195,"on 25 july, twitter user ""muzamjir al-sham"" tweeted:
 
 ""the promises to hold those responsible for the assassination of shaykh
 
 mazin qassum accountable are not enough. we are facing an organization
 
 of which most of its members are accused of secretly pledging allegiance
 
 to da'ish [arabic acronym for isil]. the only solution is to break apart
 
 the organization #jund_al-aqsa.""",,Jund Al-Aqsa,JAA,Islamic State,ISIL,,,Collaboration,,,,,,"If I understand the use of this hashtag correctly, that newish-Twitter person is accusing JAA of being secrectly allied with ISIL",,ANS,.
2015,Aleppo,NA,no,no,no,no,no,no,no,no,PKK,NA,NA,NA,other,NA,TRL2015080113248084,2015-08-01,197,"on 31 july, twitter user ""abu-a'ishah #qa'idah jn"" tweeted that the ahrar al-sham islamic movement was ""supporting their brothers"" in al-nusrah front by attacking ""the pkk and their dogs in"" jaysh al-thuwar near i'zaz.",,Ahrar al-Sham ,ASIM,Al-Nusrah Front,ANF,,,Collaboration,,,,,,unknown twitter user claims ASIM is allied with ANF indicated by their fighting PKK and Jaysh al-thuwar,yes,ANS,.
2015,Idlib,NA,no,yes,no,no,no,no,no,no,YPG,.,.,.,indirect_quote,NA,TRL2015080113248084,2015-08-01,198,"n 31 july, the official website of the syrian observatory for human rights reported that both al-nusrah front and the ypg released statements regarding the aforementioned clashes. al-nusrah front's statement claimed that following past clashes between the two sides, the ypg pledged to withdraw from the hills surrounding atmah to positions behind the 'afrin river, but ypg forces violated their pledge and erected cement towers overlooking roads and checkpoints used by al-nusrah front and other factions. according to the statement, al-nusrah front, along with the ahrar al-sham islamic movement, thuwar al-sham, al-sham corps, and the fajr al-sham movement proceeded to attack the ypg and attempted to take down the towers. in response, the ypg claimed in its statement that al-nusrah front had violated its pledges and claimed to have had good relations with residents of the areas around atmah, noting that it only built the towers in defense of their positions.",,Al-Nusrah Front,ANF,People's Protection Units,YPG,,,Critique,,,,,,YPG and ANF are fighting and ANF accuses YPG of vilolating terms of their withdrawl. YPG denies this,,ANS,.
2015,Idlib,NA,no,yes,no,no,no,no,no,no,YPG,.,.,.,indirect_quote,NA,TRL2015080113248084,2015-08-01,198.1,"n 31 july, the official website of the syrian observatory for human rights reported that both al-nusrah front and the ypg released statements regarding the aforementioned clashes. al-nusrah front's statement claimed that following past clashes between the two sides, the ypg pledged to withdraw from the hills surrounding atmah to positions behind the 'afrin river, but ypg forces violated their pledge and erected cement towers overlooking roads and checkpoints used by al-nusrah front and other factions. according to the statement, al-nusrah front, along with the ahrar al-sham islamic movement, thuwar al-sham, al-sham corps, and the fajr al-sham movement proceeded to attack the ypg and attempted to take down the towers. in response, the ypg claimed in its statement that al-nusrah front had violated its pledges and claimed to have had good relations with residents of the areas around atmah, noting that it only built the towers in defense of their positions.",,People's Protection Units,YPG,Al-Nusrah Front,ANF,,,Denial,,,,,,YPG and ANF are fighting and ANF accuses YPG of vilolating terms of their withdrawl. YPG denies this,,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,direct_quote,AYAR accuses JAF of initiating attacks against them,TRL2015080376405073,2015-08-03,199,"on 1 august, twitter user ""al-khal abu-ali"" , the official
 
 account of abu-ali al-bardi, aka al-khal, the commander of al-yarmuk
 
 martyrs brigade, issued a tweet addressing jaysh al-fath and accusing
 
 them of initiating the clashes between the two groups and telling them
 
 to ""await our response."" in response, ""dar'a akhr sa'ah"" 
 
 tweeted that ""information from inside al-nusrah"" front indicated that
 
 its former overall sharia official, abu-mariyah al-qahtani, had only
 
 around 100 fighters left with him and that the rest ""returned [to dayr
 
 az zawr] or traveled to turkey, jordan, or were killed.""",,Al-Yarmuk Martyrs Brigade,AYAR,Jaysh al-Fath,JAF,,,Critique,,,,,,"AYAR threatens JAF and accuses them of starting clashes
(additionally) an unknown twitter user states that ANF has only 100 fighters left 
",,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,direct_quote,AYAR accuses JAF of initiating attacks against them,TRL2015080376405073,2015-08-03,199.1,"on 1 august, twitter user ""al-khal abu-ali"" , the official
 
 account of abu-ali al-bardi, aka al-khal, the commander of al-yarmuk
 
 martyrs brigade, issued a tweet addressing jaysh al-fath and accusing
 
 them of initiating the clashes between the two groups and telling them
 
 to ""await our response."" in response, ""dar'a akhr sa'ah"" 
 
 tweeted that ""information from inside al-nusrah"" front indicated that
 
 its former overall sharia official, abu-mariyah al-qahtani, had only
 
 around 100 fighters left with him and that the rest ""returned [to dayr
 
 az zawr] or traveled to turkey, jordan, or were killed.""",,,,Al-Nusrah Front,ANF,,,Critique,,,,,,"AYARM threatens JAF and accuses them of starting clashes
(additionally) an unknown twitter user states that ANF has only 100 fighters left 
",,ANS,.
2015,Hama,,,no,,no,,,NA,,,,,,direct_quote,,TRN2015080462087529,2015-08-04,200,"""in the name of god, the merciful, the compassionate ""and hold fast, all together, by the rope which allah , and be not divided among yourselves, [partial koranic verse, al-imran, 3:103]. ""in response to the traitor regime fiercely attacking and oppressing civilians, and as an answer to the calls of our people in #hamah_countryside and all syrian lands, the #jaysh_al-nasr operations room has been formed to continue defending our people and liberate our land. it includes: 1. #suqur_ al-ghab 2. #al-izah_grouping 3. #levantine_front 4. #the fighting_rescue_front 5. #suqur_al-jabal_brigade 6. #the_sixth brigade 7. #division_111 8. #division 60_authenticity_and_development_front 9. #bilad_al-sham_brigade 10. #the_111th_regiment 11. #the_revolutionary_commandos_movement 12. #the_suqural-jihad_battalion 13. #at turaymisah_martyrs_brigade 14. #al-mashur_battalions 15. #adiyat_brigade ""we ask god to establish our steps and unite us in doing what is pleasing to him; he is the provider of success.""",,"suqur al-ghab; 
al-izah grouping;
levantine front; 
fighting rescue_front;
suqur al-jabal brigade;
sixth brigade;
division 111;
division 60 authenticity and development front;
bilad al-sham brigade;
111th regiment; 
revolutionary commandos movement;
suqural-jihad battalion;
turaymisah martyrs brigade;
al-mashur battalions;
adiyat brigade","SAGG;
ALIZG;
LF;
FIGHTRF;
SalJB;
6th;
111st;
AADF;
BLDASB;
RCA; 
ATTRMB;
ALMSHB;
Adiy ",Jaysh al-Nasr Operations Room,JANOR ,,,JOR,,,,,,Jaysh al-nasr OR is formed with 15 groups stated to fight SGF,yes,ANS,.
2015,NA,NA,no,no,no,no,no,.,no,no,.,.,.,.,direct_quote,Statement from JAI saying they will support ASIM in battle against sectarian attack (by Iran? Unclear),TRN2015080611821485,2015-08-06,202,"at 1911 gmt on 5 august, twitter user ""islam allush"" , the official account of jaysh al-islam's spokesman, tweeted an image of a ""press release"" regarding the ""outcome"" of the ahrar al-sham islamic movement's ""negotiations with the iranian delegation regarding the criminal attack against az zabadani [see osc product trr2015080554254363]."" in the statement, islam allush declares his group's intent ""to stop the sectarian attack against our people in az zabadani"" and to ""meet in islamic damascus to liberate it."" below is the translation of the statement./ /image of the ""press release"" issued by jaysh al-islam spokesman islam allush./ ""jaysh al-islam ""office of the official spokesman ""press release ""after reading the statement by the brothers in the ahrar al-sham islamic movement on the outcome of their negotiations with the iranian delegation regarding the criminal attack against az zabadani and its environs, we in jaysh al-islam agree with and support their position. we agree with what was said regarding the presence of an evil conspiracy being weaved against the country with the goal of changing its demographic composition and manipulation of its human terrain. thus, we in jaysh al-islam, leaders and individuals alike, emphasize our readiness to send all our forces and equipment to any battle whose objective is to stop the sectarian attack against our people in az zabadani. we call upon all the active forces on the ground to begin major military work -- starting from the north or the south, where the supply routes are present -- so that the al fu'ah and kafraya or nubl and az zahra' barracks are targeted, or proceed to the regime's locations in the coast so that its criminals can experience our brothers' suffering. they could also launch from the liberated areas in southern syria to break the siege on az zabadani. we all have hope in god the almighty that unity will prevail and that the true hearts will unite to wage the battle of truth and liberation. we hope the battle continues until it achieves its sublime goal, namely, lifting the siege imposed on damascus in eastern and western al ghutah. after depending on god, our sons and people there depend on their brothers to be up to the responsibility and support them. after that, the banners of victory will meet in islamic damascus to liberate it, god willing. the issue of damascus has surpassed its borders, and is not only the responsibility of jaysh al-islam, as it has become the focal issue upon which the syrian revolution relies so as to achieve its final goal, namely, victory, god the almighty willing. ""captain islam allush, official spokesman of jaysh al-islam""",,Jaysh al-Islam,JAI,Ahrar al-sham,ASIM,Jaysh al-Islam,JAI,Gen_Pos,,,,,,"JAI praises/agrees with the position to support with forces and equiptment any battle against ""sectarian violence"" to defend az zabadani. I was confused about the context but I got this from Wikipedia: ""On 10 August, pro-Syrian government forces captured the Imam Ali Mosque, with the Hezbollah pressing on from the southern perimeter.[68] SOHR reported that negotiations are still taking place between the parties.[69] The following day, a 48-hour ceasefire was brokered by Iranian mediators.[70][71][72] During this time, fighters would be allowed to leave the city by bus, but there was some contention amongst some rebel groups as to whether or not to accept the settlement.[73] However, the fragile ceasefire was broken by the rebels from the al-Nusra Front merely hours later. The government forces were reportedly now in control of nearly 75% of Al-Zabadani.[74] According to Al-Manar, 40 Islamist rebel fighters surrendered themselves to the Syrian Armed Forces and Hezbollah on 13 August.[75]""",,ANS,.
2015,NA,NA,no,no,no,no,yes,AASG,no,no,.,.,.,.,news_general,10 day dispute between AASG and JAI ended through moderation by Al-Nusrah Front and Al Rahman Corps,TRL2015080779055091,2015-08-07,204,"*reconciliation efforts*
 
 
 
 
 
 on 7 august, the ""al-arabi al-jadid"" news site posted an article claiming that jaysh al-islam and the ajnad al-sham islamic union had reached an agreement following a dispute lasting ten days, during which jaysh al-islam and the union-affiliated fajr al-ummah brigade carried out a series of tit-for-tat arrests of the other's members. the agreement -- mediated by al-nusrah front and al-rahman corps -- stipulates that both sides release any detained members and that they put an end to armed demonstrations and ""the media campaigns"" against one another. see also osc product trn2015080611420549.",,Jaysh al-Islam,JAI,Ajnad al-Sham ,ASIM,,,Prisoner_Exchange,Ceasefire,,,,,JAI and ASIM reached an agreement mediated by ANF and ARC who mandated a prisoner exchange. This also implies that the tension between JAI and FUB is a result of the conflicts between JAI and ASIM. ,yes,ANS,.
2015,NA,NA,no,no,yes,no,no,no,no,no,.,.,.,.,direct_quote,create new operations room ID,TRL2015080779055091,2015-08-07,206,"on 7 august, twitter user ""amawi news"" tweeted that the formation of the ""combating da'ish [arabic acronym for isil] operations room"" had been announced and would include jaysh al-mujahideen, the nur al-zanki movement, the authenticity and development front, and others.",,Nur al-Din Al-Zenki; Jaysh al-Mujahideen,NADZAM; JAM,Combating ISIL OR,CDOR,,,JOR,,,,,,NADZAM and JAM are part of the founding of combating ISIL OR,,ANS,.
2015,NA,NA,no,no,no,no,no,no,no,no,.,.,.,.,direct_quote,SKIP?,TRL2015080779055092,2015-08-07,207,"on 8 november, twitter user ""jabhah al-asalah wa al-tanmiyah"" , the official account of the authenticity and development front, tweeted a link to an article by ""khalid al-hammad,"" commander of the group, titled ""why do we fight da'ish [arabic acronym for isil]?"" in the article, al-hammad criticizes isil for ""having deviants and drug addicts hold the youth and elders of the ummah [community of muslims worldwide] to be infidels"" and for ""permitting the shedding of [innocent] blood and making the murder of muslims worthy of heaven."" he accuses isil of ""coordinating with the regime"" and claims that they work with iran. al-hammad also urges ""the youth of the ummah not to be tricked by these groups"" and to ""fight them wherever you find them.""",,Islamic State,ISIL,Syrian Government; Iran,SGF; IRAN,Authenticity and Development Front,AADF,Collaboration,,,,,,ADF accuses ISIL of coordinating with SGF and IRAN and of targeting youths and elders,,ANS,.
2015,Rif Damashq,NA,no,no,no,no,no,no,no,no,.,.,.,.,other,Sharia Comission in Al Ghutah court orders prisoner exchange among other things to moderate tensions between Al-Sham Coprs and Jaysh al-Islam. other groups signed the agreement including AASG,TRN2015081077704793,2015-08-10,212,"*reconciliation efforts*

 on 10 august, twitter user ""ajil al-jaysh al-hurr"" tweeted an image of an agreement signed by the ajnad al-sham islamic union, jaysh al-islam, al-rahman corps, al-nusrah front, and shaykh sa'id darwish, head of the sharia commission in al ghutah, regarding the dispute between al-sham corps and jaysh al-islam. the statement stipulates the following:

 ""1. the removal of all armed presence and military deployment to where the situation was before the start of the problem.""
 
 ""2. the immediate exchange of prisoners and their properties and vehicles.""

 ""3. the establishment of a judicial committee consisting of a judge from jaysh al-islam, a judge from the ajnad al-sham islamic union, and a judge from al-nusrah front who holds the casting vote.""

 ""4. putting an immediate halt to media campaigns by the two parties upon signing this agreement.""

 ""5. the judicial committee shall rule on the claims by the two parties within 15 days, and the judge who holds the casting vote has the right to extend this period only for one time for another 15 days.""

 ""6. the two parties will abide by a truce for two days following the signing of this agreement.""

 ""7. both al-sham corps and al-nusrah front shall commit to the implementation of the ruling by the judicial committee and will be responsible for devising a mechanism to implement the ruling.""",,Al-Sham Corps,AlSham,Jaysh al-Islam,JAI,"Ajnad al-sham;
Jaysh al-Islam; Al-Rahman Corps; 
Al-Nusrah Front;
Sharia Comission in Al Ghutah",ASIM; JAI; ANF; SCAG (add to disambiguation),Negotiations,,,,,,"unknown twitter user shares agreement between several groups setting terms for the dispute between JAI and  Alsham (which al-sham?): signatories coded as posters :
",,ANS,.
2015,NA,NA,no,no,no,no,yes,JAF,no,no,.,.,.,.,direct_quote,permits judiciary council to mitigate between groups; all Jaysh al-Fath affiliated grouops,TRN2015081382494279,2015-08-13,216,"*reconciliation efforts*
 
 
 
 
 
 on 13 august, twitter user ""uss al-sira fi al-sham"" tweeted an embedded image of an agreement purportedly signed by the following jaysh al-fath-affiliated factions: the ahrar al-sham islamic movement, al-nusrah front, the ajnad al-sham islamic union, al-sham corps, jaysh al-sunnah, jund al-aqsa, and al-haqq brigade. the agreement stipulates the following:
 
 
 
 
 
 ""all the signatory factions shall resort to sharia litigation.""
 
 
 ""the judiciary council and its affiliated courts shall be the only judicial authority in the areas liberated by jaysh al-fath.""
 
 
 ""the judiciary council shall take its decisions independently.""
 
 
 ""the signatory factions shall abide unconditionally by the rulings of the judiciary council.""
 
 
 ""the signatory factions shall render all the wanted persons, regardless of their ranks, to the judiciary council as soon as the latter demands that.""
 
 
 ""the judiciary council shall consolidate the judiciary institutions in the areas liberated by jaysh al-fath.""",,Ahrar al-Sham,ASIM,"Al-Nusrah Front; 
Ajnad al-sham;
Al-Sham Corps; 
Jaysh al-sunnah;
Jund al-aqsa;
Al-haqq brigade","ANF;
AASG;
JS;
JAA;
LH",,,Negotiations,,,,,,Agreement between several groups regarding council rulings and litigation.,,ANS,.
2015,NA,NA,no,yes,no,no,no,no,no,no,.,.,.,.,other_militants,"other militants claiming that 3 groups are ""one and the same""",TRN2015082075977557,2015-08-20,221,"on 20 august, twitter user ""jamal ma'ruf abu-khalid"" , the
 
 
 commander of the syria revolutionaries front, tweeted: ""da'ish [arabic
 
 
 acronym for isil], jund al aqsa, and al-nusrah front are one and the
 
 
 same, and the evidence to that is the movement of fighters among them
 
 
 under the pretext of defections! whatever distinctions there are between
 
 
 them is like the difference between the head of a dog and its tail. the
 
 
 al-qa'ida of bashar and iran.""",,Syrian Revolutionaries Front,SRF,Islamic State; Al-Nusrah Front; Jund al-aqsa,ISIL; ANF; JAA,Syrian Revolutionaries Front,SRF,Critique,,,,,,"SRF tweets that ISIL, ANF, and JAA are the same thing",,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,.,JAF counters rumors that 50 JAA memebers defected and joined ISIL,TRR2015082467595933,2015-08-24,226,"/at 0754 gmt on 24 august, twitter user ""jaysh al-fath"" , the official account of jaysh al-fath,
 
 tweeted an embedded image of a statement titled ""in defense of the honor
 
 of our jund al-aqsa brothers,"" attributed to the group's ""sharia
 
 committee."" below is a translation of the statement./
 
 
 
 /image of the jayth al-fath statement titled
 
 ""in defense of the honor of our jund al-aqsa brothers""/
 
 
 
 ""in the name of god, the merciful, the compassionate
 
 jaysh al-fath -- media office
 
 
 
 statement number 6
 
 date: 8dhu-al-qi'dah 1436 [corresponding to 23 august 2015]
 
 
 
 ""statement
 
 ""in defense of the honor of our jund al-aqsa brothers
 
 
 
 ""praise be to god, and blessings and peace be upon the last of the
 
 messengers, who said: 'he who defends his brother's honor: god will
 
 protect his face from the fire on the day of resurrection,' and upon his
 
 family and all his companions. thereafter:
 
 
 
 ""as of late, social media sites have been relaying the news that 50 jund
 
 al-aqsa members, along with a number of anti-armor [weapons], have
 
 joined da'ish [arabic acronym for isil], and that they abandoned their
 
 locations on the muslim fronts, allowing the [syrian] army to advance.
 
 
 
 ""it is incumbent upon us in jaysh al-fath to refute this information.
 
 none of our brothers have joined da'ish, and none have abandoned their
 
 posts. on the contrary, our brothers in jund al-aqsa have performed
 
 bravely during the ongoing battles in idlib and al ghab plain, and
 
 sacrificed their pure lives. we ask god to accept them and us. our
 
 brothers are proceeding to purge their ranks of those who have any
 
 connection to da'ish -- something we urge them to do more of. may god
 
 reward them and enable them to be a thorn in the throats of the enemies
 
 of islam and muslims. may god enable us and them to raise the banner of
 
 islam. amen.
 
 
 
 ""sharia committee -- jaysh al-fath""",,Jund al-Aqsa Fighters,JAA Fighters,Jund al-Aqsa,JAA,Jaysh al-Fath,JAF,Defect_Neg,,,,,,"JAF denies the rumors that JAA fighters defected to ISIL which is odd because the other claim says that JAA stole from JAF. 
JAF praises JAA and says they are excellent fighers
part 1: JAA fighters leave JAA (for ISIL)",yes,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,.,JAF counters rumors that 50 JAA memebers defected and joined ISIL,TRR2015082467595933,2015-08-24,226.1,"/at 0754 gmt on 24 august, twitter user ""jaysh al-fath"" , the official account of jaysh al-fath,
 
 tweeted an embedded image of a statement titled ""in defense of the honor
 
 of our jund al-aqsa brothers,"" attributed to the group's ""sharia
 
 committee."" below is a translation of the statement./
 
 
 
 /image of the jayth al-fath statement titled
 
 ""in defense of the honor of our jund al-aqsa brothers""/
 
 
 
 ""in the name of god, the merciful, the compassionate
 
 jaysh al-fath -- media office
 
 
 
 statement number 6
 
 date: 8dhu-al-qi'dah 1436 [corresponding to 23 august 2015]
 
 
 
 ""statement
 
 ""in defense of the honor of our jund al-aqsa brothers
 
 
 
 ""praise be to god, and blessings and peace be upon the last of the
 
 messengers, who said: 'he who defends his brother's honor: god will
 
 protect his face from the fire on the day of resurrection,' and upon his
 
 family and all his companions. thereafter:
 
 
 
 ""as of late, social media sites have been relaying the news that 50 jund
 
 al-aqsa members, along with a number of anti-armor [weapons], have
 
 joined da'ish [arabic acronym for isil], and that they abandoned their
 
 locations on the muslim fronts, allowing the [syrian] army to advance.
 
 
 
 ""it is incumbent upon us in jaysh al-fath to refute this information.
 
 none of our brothers have joined da'ish, and none have abandoned their
 
 posts. on the contrary, our brothers in jund al-aqsa have performed
 
 bravely during the ongoing battles in idlib and al ghab plain, and
 
 sacrificed their pure lives. we ask god to accept them and us. our
 
 brothers are proceeding to purge their ranks of those who have any
 
 connection to da'ish -- something we urge them to do more of. may god
 
 reward them and enable them to be a thorn in the throats of the enemies
 
 of islam and muslims. may god enable us and them to raise the banner of
 
 islam. amen.
 
 
 
 ""sharia committee -- jaysh al-fath""",,Jund al-Aqsa Fighters,JAA Fighters,Islamic State,ISIL,Jaysh al-Fath,JAF,Defect_Pos,,,,,,"JAF denies the rumors that JAA fighters defected to ISIL which is odd because the other claim says that JAA stole from JAF. 
JAF praises JAA and says they are excellent fighers
part2: JAA fighters join ISIL",yes,ANS,.
